list,order,item,audio,prime_description,target_description,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,targetRC1,targetRC2,targetPC,targetCP,targetSP
1,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
2,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
3,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
4,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
5,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
6,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
7,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
8,1,p1,p1.mp3,the striped toothbrush that's blue,The chequered green fork,5,toothbrush_blue_chequered.png,toothbrush_blue_striped.png,toothbrushBlueLarge.png,toothbrushRedLarge.png,fork_green_chequered.png,fork_blue_chequered.png,forkGreenLarge.png,forkBlueLarge.png,chequered fork that's green,green fork that's chequered,chequered green fork,green chequered fork,the green fork on the bottom row
1,2,p2,p2.mp3,the blue cat that's spotted,The red striped diamond,2,cat_blue_striped.png,diamond_red_striped.png,cat_blue_spotted.png,diamond_red_spotted.png,diamond_blue_striped.png,diamond_green_spotted.png,cat_red_spotted.png,catBlueLarge.png,striped diamond that's red,red diamond that's striped,striped red diamond,red striped diamond,the red diamond on the top row
2,2,p2,p2.mp3,the blue cat that's spotted,The red striped diamond,2,cat_blue_striped.png,diamond_red_striped.png,cat_blue_spotted.png,diamond_red_spotted.png,diamond_blue_striped.png,diamond_green_spotted.png,cat_red_spotted.png,catBlueLarge.png,striped diamond that's red,red diamond that's striped,striped red diamond,red striped diamond,the red diamond on the top row
3,2,p2,p2.mp3,the blue cat that's spotted,The red striped diamond,2,cat_blue_striped.png,diamond_red_striped.png,cat_blue_spotted.png,diamond_red_spotted.png,diamond_blue_striped.png,diamond_green_spotted.png,cat_red_spotted.png,catBlueLarge.png,striped diamond that's red,red diamond that's striped,striped red diamond,red striped diamond,the red diamond on the top row
4,2,p2,p2.mp3,the blue cat that's spotted,The red striped diamond,2,cat_blue_striped.png,diamond_red_striped.png,cat_blue_spotted.png,diamond_red_spotted.png,diamond_blue_striped.png,diamond_green_spotted.png,cat_red_spotted.png,catBlueLarge.png,striped diamond that's red,red diamond that's striped,striped red diamond,red striped diamond,the red diamond on the top row
5,2,p2,p2.mp3,the blue cat that's spotted,The red striped diamond,2,cat_blue_striped.png,diamond_red_striped.png,cat_blue_spotted.png,diamond_red_spotted.png,diamond_blue_striped.png,diamond_green_spotted.png,cat_red_spotted.png,catBlueLarge.png,striped diamond that's red,red diamond that's striped,striped red diamond,red striped diamond,the red diamond on the top row
6,2,p2,p2.mp3,the blue cat that's spotted,The red striped diamond,2,cat_blue_striped.png,diamond_red_striped.png,cat_blue_spotted.png,diamond_red_spotted.png,diamond_blue_striped.png,diamond_green_spotted.png,cat_red_spotted.png,catBlueLarge.png,striped diamond that's red,red diamond that's striped,striped red diamond,red striped diamond,the red diamond on the top row
7,2,p2,p2.mp3,the blue cat that's spotted,The red striped diamond,2,cat_blue_striped.png,diamond_red_striped.png,cat_blue_spotted.png,diamond_red_spotted.png,diamond_blue_striped.png,diamond_green_spotted.png,cat_red_spotted.png,catBlueLarge.png,striped diamond that's red,red diamond that's striped,striped red diamond,red striped diamond,the red diamond on the top row
8,2,p2,p2.mp3,the blue cat that's spotted,The red striped diamond,2,cat_blue_striped.png,diamond_red_striped.png,cat_blue_spotted.png,diamond_red_spotted.png,diamond_blue_striped.png,diamond_green_spotted.png,cat_red_spotted.png,catBlueLarge.png,striped diamond that's red,red diamond that's striped,striped red diamond,red striped diamond,the red diamond on the top row